date,vaccines,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_google_mobility,key_apple_mobility,key_numeric,key_alpha_2
2020/10/28,0,16466999,922680,0,17541,3066,0,796,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/29,0,16607486,926893,0,17567,3132,0,783,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/30,0,16758253,931826,0,17627,3217,0,789,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/10/31,0,16883636,935248,0,17661,3200,0,801,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/1,0,16980666,938883,0,17671,3223,0,821,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/2,0,17056779,944141,0,17700,3255,0,839,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/3,0,17154650,949383,0,17751,3396,0,909,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/4,0,17281062,954624,0,17818,3438,0,907,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/5,0,17450631,960884,0,17866,3466,0,910,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/6,0,17621628,967597,0,17939,3455,0,892,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/7,0,17761840,972801,0,17964,3542,0,909,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/8,0,17860592,978844,0,17975,3648,0,934,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/9,0,17947174,985598,0,18035,3807,0,973,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/10,0,18039067,994341,0,18073,3960,0,995,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/11,0,18171936,999498,0,18109,4008,0,1010,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/12,0,18341161,1009187,0,18141,4118,0,1029,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/13,0,18543118,1019052,0,18218,4207,0,1031,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/14,0,18709537,1027016,0,18254,4403,0,1100,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/15,0,18839535,1035981,0,18265,4568,0,1143,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/16,0,18993274,1047360,0,18304,4948,0,1199,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
2020/11/17,0,19191038,1058096,0,18360,5029,0,1318,39512223,3,2,2,3,0,1,1,3,2,3,2,58.8,USA,US,840,USN,2,United States,California,,36.58249626,-116.7043077,,California,California,6,CA
